,unique_id,city,job_qry,job_title,company_name,summary,link,date,period,min_salary,max_salary,min_ago
346,p_433c315013b5522c,New York,data+analyst,Assistant Systems Analyst-Social Work,NYC Health + Hospitals,"Collects management information, data and other related documents, analyzes data, establishes relationships and prepares recommendations....",https://www.indeed.com/rc/clk?jk=433c315013b5522c&fccid=8ba13cf21fd7c2de&vjs=3,5 days ago,year,30648.0,30648.0,7200
348,p_130909bb42f80983,New York,data+analyst,Third Party Risk Analyst,ACS,We are looking for a high caliber analyst to join the Third Party Governance team within the Chief Administrative Office. 3 years (Required)....,https://www.indeed.com/company/American-CyberSystems/jobs/Third-Party-Risk-Analyst-130909bb42f80983?fccid=6f5b7b19048a3186&vjs=3,10 hours ago,hour,79040.0,79040.0,600
354,p_b59410cae51ba8ef,New York,data+analyst,Data Scientist,Rent the Runway,Mine the data ecosystem & find fruitful signals. Passion for data and its ability to drive serious business impact....,https://www.indeed.com/rc/clk?jk=b59410cae51ba8ef&fccid=bd77e92c73ca8df3&vjs=3,5 months ago,year,98000.0,144000.0,216000
362,p_c6ebe35878d62056,New York,data+analyst,"Data Analyst, Chronic Disease Prevention and Tobacco",New York City DEPT OF HEALTH/MENTAL HYGIENE,"At least 3 years’ experience analyzing data using statistical software. Excellent attention to detail and organizational skills, written and oral communication...",https://www.indeed.com/rc/clk?jk=c6ebe35878d62056&fccid=4146d8487cdbf799&vjs=3,30+ days ago,year,73305.0,91021.0,43200
365,p_fb8a53977f0bd266,New York,data+analyst,Business Intelligence Analyst,New York City TAXI & LIMOUSINE COMMISSION,Generate ad hoc reports with attention to detail and accuracy. The New York City Taxi and Limousine Commission (TLC) is the City agency responsible for...,https://www.indeed.com/rc/clk?jk=fb8a53977f0bd266&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,57000.0,61560.0,43200
421,p_41423755af85584f,New York,data+analyst,eCommerce Data Analyst,Green Art Plumbing Supply,*\*\*\**PLEASE INCLUDE RELEVANT EXPERIENCE IN YOUR RESUME OR COVER LETTER TO BE CONSIDERED FOR THE POSITION\*\*\*  Job title Data Analyst *Job purpose...,https://www.indeed.com/company/Green-Art-Plumbing-Supply/jobs/Ecommerce-Data-Analyst-41423755af85584f?fccid=a6ac9949dc6e0baa&vjs=3,9 days ago,hour,39520.0,41600.0,12960
438,p_e016ffbeb9bffec1,New York,data+analyst,BUSINESS ANALYST,New York City FINANCIAL INFO SVCS AGENCY,Must be able to research data issue by writing complex ad-hoc queries. Decomposing business requirements into detail designs that may cover items such as:....,https://www.indeed.com/rc/clk?jk=e016ffbeb9bffec1&fccid=8ad805fbb70168d6&vjs=3,12 days ago,year,75000.0,130000.0,17280
440,p_4d1d4fb63f6edb0d,New York,data+analyst,"Specialist, Data Management Quant Analysis",BNY Mellon,Provides guidance to more junior analysts. Independently works with internal and external datasets and client reference data and participates in the development...,https://www.indeed.com/company/BNY-Mellon/jobs/Specialist-4d1d4fb63f6edb0d?fccid=b4048be2884af072&vjs=3,30+ days ago,year,110000.0,110000.0,43200
449,p_aec920739d2a1eb3,New York,data+analyst,Tracking and Monitoring Data Analyst,New York City ADMIN FOR CHILDREN'S SVCS,Resolve data inconsistencies and correct data errors by assisting contracted programs with data entry down to the individual case level....,https://www.indeed.com/rc/clk?jk=aec920739d2a1eb3&fccid=3dd3aa4c732ecbeb&vjs=3,30+ days ago,year,59536.0,88649.0,43200
454,p_d5159d4704e5b28b,New York,data+analyst,"Manager, People - New York City, NY",Anheuser-Busch,"Draftline is a new internal creative agency at AB-Inbev- it is an agile team of strategists, designers, writers, editors, data analysts, producers, and...",https://www.indeed.com/rc/clk?jk=d5159d4704e5b28b&fccid=84c67dd9d990e840&vjs=3,16 days ago,year,86800.0,97650.0,23040
455,p_0bc9ce1ec40bbe41,New York,data+analyst,"Analyst, Project Management Office",New York City MAYORS OFFICE OF CONTRACT SVCS,"We are looking for candidates who not only have the required experience and skills, but can demonstrate a high level of professionalism and customer service and...",https://www.indeed.com/rc/clk?jk=0bc9ce1ec40bbe41&fccid=ba9a7b6f178096fc&vjs=3,19 days ago,year,50000.0,65000.0,27360
469,p_2035b11c4a3ad5af,New York,data+analyst,Quality Analyst - Digital Solutions,New York City TAXI & LIMOUSINE COMMISSION,"5+ years of quality analyst experience in a technical environment. Create detailed, comprehensive and structured test plans, test cases, requirements...",https://www.indeed.com/rc/clk?jk=2035b11c4a3ad5af&fccid=5e85d46ffb1578d0&vjs=3,8 months ago,year,75000.0,85000.0,345600
486,p_44b0b2fe2535f427,New York,data+analyst,Data Analyst,AiCure,2 to 3 years of work experience in user and systems-level analytics. AiCure is a VC-funded startup that leverages mobile technology by combining it with...,https://www.indeed.com/rc/clk?jk=44b0b2fe2535f427&fccid=a7ffaac5586ee69a&vjs=3,30+ days ago,year,70000.0,110000.0,43200
487,p_e59bd0ba99497735,New York,data+analyst,AR Business Analyst,Healthfirst,The Accounts Receivable Business Analyst will be responsible for State revenue reconciliation and reporting of all revenue products. The incumbent of this...,https://www.indeed.com/rc/clk?jk=e59bd0ba99497735&fccid=33b2d0072564c18e&vjs=3,6 days ago,hour,54080.0,76960.0,8640
490,p_38131a2e0b45424c,New York,data+analyst,Business Analyst,Cyber Tech Group,"Department: Project Management Project Location(s): Brooklyn, NY, US Education: Bachelor's Degree Compensation: 65K per annum Responsibilities Candidates can...",https://www.indeed.com/rc/clk?jk=38131a2e0b45424c&fccid=6534136b629111eb&vjs=3,30+ days ago,year,65000.0,65000.0,43200
495,p_032f5041628a1780,New York,data+analyst,Business and Data Analyst Manager,New York City ADMIN FOR CHILDREN'S SVCS,"Under managerial direction, with wide latitude for independent judgment and initiative, the Business and Data Analyst Manager (BDAM) will be responsible for...",https://www.indeed.com/rc/clk?jk=032f5041628a1780&fccid=3dd3aa4c732ecbeb&vjs=3,30+ days ago,year,63817.0,95022.0,43200
516,p_58c847c9913bab3e,New York,data+analyst,Strategic Initiatives Analyst,New York City TAXI & LIMOUSINE COMMISSION,"The New York City Taxi and Limousine Commission (TLC) is the nation’s largest for-hire transportation agency, licensing and regulating the City’s yellow and...",https://www.indeed.com/rc/clk?jk=58c847c9913bab3e&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,50000.0,54000.0,43200
531,p_8ef576508b5a423f,New York,data+analyst,Workplace Services Sr. Coordinator,Salesforce,Meticulous attention to detail – someone who is on top of the numbers and can clearly bring data to discussions....,https://www.indeed.com/rc/clk?jk=8ef576508b5a423f&fccid=4027cfd917e1ee29&vjs=3,5 hours ago,hour,58240.0,87360.0,300
546,p_abb6d012d1318120,New York,data+analyst,Sales Analyst (B2B+B2C),JAYJUN International Inc,Sales Analyst (B2B+B2C). Must have a minimum of 5 years of relevant experience. Able to analyze raw data and provide short- and long-term strategies....,https://www.indeed.com/company/JAYJUN-International-Inc/jobs/Sales-Analyst-abb6d012d1318120?fccid=3f7eff752618988f&vjs=3,7 days ago,year,60000.0,80000.0,10080
565,p_652a9864fabf44c1,New York,data+analyst,OMB BUSINESS ANALYST,New York City FINANCIAL INFO SVCS AGENCY,The Financial Information Services Agency and the Office of Payroll Administration (FISA-OPA) has a vacancy for an OMB Business Analyst. Under the direction...,https://www.indeed.com/rc/clk?jk=652a9864fabf44c1&fccid=8ad805fbb70168d6&vjs=3,30+ days ago,year,75000.0,105000.0,43200
594,p_3f635043ae271d78,New York,data+analyst,Business Analyst,American Arbitration Association,"Overview For over 40 years, the New York State Department of Financial Services (NYS DFS) has provided consumers and insurance carriers with the opportunity...",https://www.indeed.com/rc/clk?jk=3f635043ae271d78&fccid=fea1a32d0393ca3a&vjs=3,30+ days ago,year,62500.0,82500.0,43200
595,p_501f4b4a03b04dcf,New York,data+analyst,Business Analyst Regulatory Reporting,DataAxxis,"*Business Analyst Regulatory Reporting Job Type: * Contract 6+months OATS, EBS, CAT regulatory reporting Cash Equities, Options, OTC derivatives Change...",https://www.indeed.com/company/DataAxxis/jobs/Business-Analyst-Regulatory-Reporting-501f4b4a03b04dcf?fccid=f3c0e1860babcae4&vjs=3,30+ days ago,day,130000.0,136500.0,43200
599,p_d38f7bcfe038c0aa,New York,data+analyst,Taxpayer Business Analyst for Data Analytics & Program Evaluation,New York City DEPARTMENT OF FINANCE,"NYC Department of Finance (DOF) is responsible for administering the tax revenue laws of the city fairly, efficiently, and transparently to instill public...",https://www.indeed.com/rc/clk?jk=d38f7bcfe038c0aa&fccid=4500f579ddd13a3b&vjs=3,12 days ago,year,87768.0,88040.0,17280
600,p_a1bb83115554e807,New York,data+analyst,Business Analyst/Project Manager,"Shinetech Software, Inc.",The ideal candidate will efficiently and quickly understand and communicate client requirements for successful project delivery. They should speak in English....,"https://www.indeed.com/company/Shinetech-Software,-Inc./jobs/Business-Analyst-Project-Manager-a1bb83115554e807?fccid=6f8b59379615b7c0&vjs=3",27 days ago,year,55000.0,65000.0,38880
601,p_38131a2e0b45424c,New York,data+analyst,Business Analyst,Cyber Tech Group,"Department: Project Management Project Location(s): Brooklyn, NY, US Education: Bachelor's Degree Compensation: 65K per annum Responsibilities Candidates can...",https://www.indeed.com/rc/clk?jk=38131a2e0b45424c&fccid=6534136b629111eb&vjs=3,30+ days ago,year,65000.0,65000.0,43200
616,p_15ebd6d2b361ddf2,New York,data+analyst,Data Scientist,Plantek Consulting,Background in Big Data development. Good understanding of Data Science models. Must have approx....,https://www.indeed.com/company/Plantek-Consulting-LLC/jobs/Data-Scientist-15ebd6d2b361ddf2?fccid=d4db328050fd1e6a&vjs=3,16 days ago,year,114000.0,169000.0,23040
617,p_3c78a6a631c05f48,New York,data+analyst,2019 University Graduate - Data Scientist - Uber Eats (New York),Uber,"To solve these problems, data scientists leverage unique data sources diverse in both geographical and temporal dimensions and in both structured (data from app...",https://www.indeed.com/rc/clk?jk=3c78a6a631c05f48&fccid=f766f8bfbc3effb7&vjs=3,30+ days ago,year,119000.0,175000.0,43200
618,p_dcfe6a7b86c197ff,New York,data+analyst,"POLICY ANALYST, COMMERCIAL LEASING",New York City DEPARTMENT OF BUSINESS SERV.,"Policy Analyst, Commercial Leasing. Oversee the development of pipelines and evaluate data to inform, develop, and oversee business development strategies....",https://www.indeed.com/rc/clk?jk=dcfe6a7b86c197ff&fccid=440af5e2ba263e19&vjs=3,5 days ago,hour,58240.0,79040.0,7200
636,p_52f196c49634d3ad,New York,data+analyst,Analyst,New York City ADMIN FOR CHILDREN'S SVCS,Lead the development of performance measures and reports using individual/case level data. Develop and maintain detailed notes and data dictionaries to ensure...,https://www.indeed.com/rc/clk?jk=52f196c49634d3ad&fccid=3dd3aa4c732ecbeb&vjs=3,30+ days ago,year,50362.0,61280.0,43200
638,p_0df8fde0286cca93,New York,data+analyst,Analyst,New York City DEPARTMENT OF CITY PLANNING,O Refine the scope of data required and the process for getting that data. You are proficient in creating PowerPoint presentations and data visualizations to...,https://www.indeed.com/rc/clk?jk=0df8fde0286cca93&fccid=9e64f1ef000888fd&vjs=3,30+ days ago,year,62000.0,72000.0,43200
640,p_44b0b2fe2535f427,New York,data+analyst,Data Analyst,AiCure,"Own analytics documentation (e.g., data dictionary, variable map). As a Data Analyst, you will work with senior team members to assess qualitative and...",https://www.indeed.com/rc/clk?jk=44b0b2fe2535f427&fccid=a7ffaac5586ee69a&vjs=3,30+ days ago,year,70000.0,110000.0,43200
643,p_f0a8b0e56771d9b2,New York,data+analyst,"Procurement Analyst, Level III",New York City POLICE DEPARTMENT,"The Procurement Analyst, Level III will:. Enter data into FMS system, prepare documents from VENDEZ FMS, prepare procurement package for submission to the...",https://www.indeed.com/rc/clk?jk=f0a8b0e56771d9b2&fccid=7d71a6e7a63e35a0&vjs=3,4 days ago,year,56981.0,95782.0,5760
653,p_49c4c7d8f0542661,New York,data+analyst,Analyst | Data and Analytics Management,New York City OFFICE OF MANAGEMENT & BUDGET,TASK FORCE: Policy and Operations Research UNIT: Data and Analytics Management JOB TITLE: One (1) Analyst / Senior Analyst (Data Analyst) CONTROL CODE: POR...,https://www.indeed.com/rc/clk?jk=49c4c7d8f0542661&fccid=d31b47dfe4006e19&vjs=3,6 months ago,year,60660.0,68244.0,259200
655,p_0e3bb867f21d9b63,New York,data+analyst,Academic Data Analyst,Vertus Charter School,"5 or more years of experience. It is important the person seeking this role has values aligned with our organizational values, is highly detail oriented and is...",https://www.indeed.com/company/Vertus-Charter-School/jobs/Academic-Data-Analyst-0e3bb867f21d9b63?fccid=12645d46485a4754&vjs=3,29 days ago,year,42000.0,42000.0,41760
656,p_2eec063a0018bc8b,New York,data+analyst,Business Analyst II,Referral 2U Job Board for Trilogy,We are looking for a Business Analyst to partner with our Product and Engineering teams to raise the bar for our suite of tools supporting external and...,https://www.indeed.com/rc/clk?jk=2eec063a0018bc8b&fccid=48e63bafd7a6c54f&vjs=3,8 days ago,year,58000.0,86000.0,11520
669,p_433c315013b5522c,New York,data+analyst,Assistant Systems Analyst-Social Work,NYC Health + Hospitals,"Collects management information, data and other related documents, analyzes data, establishes relationships and prepares recommendations....",https://www.indeed.com/rc/clk?jk=433c315013b5522c&fccid=8ba13cf21fd7c2de&vjs=3,5 days ago,year,30648.0,30648.0,7200
685,p_4dbcce8944bcf117,New York,data+analyst,Sales Assistant,Jump Design Group,Experience as a data analyst or business data analyst a plus. Analyze historical data and current trends to identify risks and opportunities....,https://www.indeed.com/company/Jump-Design-Group/jobs/Sales-Assistant-4dbcce8944bcf117?fccid=54b4b3355b090dca&vjs=3,6 hours ago,year,40000.0,50000.0,360
